,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
1360,124.0,비자림,6,73,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,240.86316
1883,172.0,섭지코지,2,24,2022-09-09,24.33333333333333,25,23,30,4,2022-09-09 00:00:00,September,4,fall,,,240.85393
2187,199.0,쇠소깍,5,64,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,239.8212
453,42.0,금능해수욕장,10,112,2022-09-09,23.166666666666668,26,20,20,4,2022-09-09 00:00:00,September,4,fall,,,239.68262
2380,217.0,신창풍차해안도로,9,103,2022-09-11,25.5,28,23,40,4,2022-09-11 00:00:00,September,6,fall,,,238.40524
4191,382.0,주상절리대,5,55,2022-09-07,25.0,26,24,0,4,2022-09-07 00:00:00,September,2,fall,,,236.901
4195,382.0,주상절리대,5,59,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,235.22513
459,42.0,금능해수욕장,10,118,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,234.70326
1359,124.0,비자림,6,72,2022-09-13,25.0,27,23,80,4,2022-09-13 00:00:00,September,1,fall,,,233.25117
43,4.0,9.81파크,7,87,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,231.26895
2178,199.0,쇠소깍,5,55,2022-09-07,25.0,26,24,0,4,2022-09-07 00:00:00,September,2,fall,,,230.8497
3106,283.0,월정리해변,6,70,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,230.34769
456,42.0,금능해수욕장,10,115,2022-09-12,25.5,28,23,40,4,2022-09-12 00:00:00,September,0,fall,,,229.81633
2379,217.0,신창풍차해안도로,9,102,2022-09-10,24.041666666666668,26,22,30,4,2022-09-10 00:00:00,September,5,fall,,,227.44838
1978,180.0,성산포종합여객터미널,2,31,2022-09-16,25.0,27,23,40,4,2022-09-16 00:00:00,September,4,fall,,,227.10632
4223,384.0,중문색달해변,5,65,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,226.63815
2378,217.0,신창풍차해안도로,9,101,2022-09-09,23.83333333333333,26,22,20,4,2022-09-09 00:00:00,September,4,fall,,,226.57385
1974,180.0,성산포종합여객터미널,2,27,2022-09-12,25.0,27,23,40,4,2022-09-12 00:00:00,September,0,fall,,,226.3949
2377,217.0,신창풍차해안도로,9,100,2022-09-08,23.791666666666668,26,22,20,4,2022-09-08 00:00:00,September,3,fall,,,225.44376
2386,217.0,신창풍차해안도로,9,109,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,224.86578
2536,231.0,아쿠아플라넷제주,2,28,2022-09-13,25.0,27,23,80,4,2022-09-13 00:00:00,September,1,fall,,,224.39687
451,42.0,금능해수욕장,10,110,2022-09-07,22.0,22,22,0,4,2022-09-07 00:00:00,September,2,fall,,,223.27443
1972,180.0,성산포종합여객터미널,2,25,2022-09-10,25.0,26,24,30,4,2022-09-10 00:00:00,September,5,fall,,,222.6756
38,4.0,9.81파크,7,82,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,221.65596
454,42.0,금능해수욕장,10,113,2022-09-10,23.875,26,21,30,4,2022-09-10 00:00:00,September,5,fall,,,220.95961
4399,400.0,천지연폭포,5,65,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,220.89825
540,50.0,김녕해수욕장,6,67,2022-09-08,23.5,26,21,20,4,2022-09-08 00:00:00,September,3,fall,,,220.5135
4391,400.0,천지연폭포,5,57,2022-09-09,25.041666666666668,28,23,20,4,2022-09-09 00:00:00,September,4,fall,,,220.2382
4196,382.0,주상절리대,5,60,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,220.14207
42,4.0,9.81파크,7,86,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,218.57292
2376,217.0,신창풍차해안도로,9,99,2022-09-07,23.0,23,23,0,4,2022-09-07 00:00:00,September,2,fall,,,218.27986
4194,382.0,주상절리대,5,58,2022-09-10,25.416666666666668,27,24,30,4,2022-09-10 00:00:00,September,5,fall,,,217.68811
4193,382.0,주상절리대,5,57,2022-09-09,25.041666666666668,28,23,20,4,2022-09-09 00:00:00,September,4,fall,,,217.36028
548,50.0,김녕해수욕장,6,75,2022-09-16,25.0,27,23,40,4,2022-09-16 00:00:00,September,4,fall,,,215.76375
544,50.0,김녕해수욕장,6,71,2022-09-12,25.0,27,23,40,4,2022-09-12 00:00:00,September,0,fall,,,215.37277
40,4.0,9.81파크,7,84,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,214.46007
37,4.0,9.81파크,7,81,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,213.79599
39,4.0,9.81파크,7,83,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,213.79349
1976,180.0,성산포종합여객터미널,2,29,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,213.38367
4396,400.0,천지연폭포,5,62,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,212.57076
1977,180.0,성산포종합여객터미널,2,30,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,212.24605
4222,384.0,중문색달해변,5,64,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,211.57372
4220,384.0,중문색달해변,5,62,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,211.35388
2381,217.0,신창풍차해안도로,9,104,2022-09-12,25.5,28,23,40,4,2022-09-12 00:00:00,September,0,fall,,,210.79459
41,4.0,9.81파크,7,85,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,210.56792
2383,217.0,신창풍차해안도로,9,106,2022-09-14,26.5,29,24,40,4,2022-09-14 00:00:00,September,2,fall,,,210.49638
4221,384.0,중문색달해변,5,63,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,210.21626
545,50.0,김녕해수욕장,6,72,2022-09-13,25.0,27,23,80,4,2022-09-13 00:00:00,September,1,fall,,,210.20139
