title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
비자림,6,124.0,2022-09-11,25.0,27,23,40,4,259.14954
성산포종합여객터미널,2,180.0,2022-09-08,24.33333333333333,26,23,20,4,258.04187
천지연폭포,5,400.0,2022-09-07,25.0,26,24,0,4,256.69492
금능해수욕장,10,42.0,2022-09-11,25.5,28,23,40,4,254.31528
금오름,10,45.0,2022-09-10,23.875,26,21,30,4,252.90942
비자림,6,124.0,2022-09-12,25.0,27,23,40,4,252.46117
쇠소깍,5,199.0,2022-09-14,26.0,28,24,40,4,252.27614
비자림,6,124.0,2022-09-07,22.0,22,22,0,4,251.94983
금능해수욕장,10,42.0,2022-09-08,23.541666666666668,27,20,20,4,251.72888
김녕해수욕장,6,50.0,2022-09-17,25.5,28,23,40,4,249.80804
금능해수욕장,10,42.0,2022-09-17,25.5,28,23,40,4,248.17458
비자림,6,124.0,2022-09-16,25.0,27,23,40,4,247.483
쇠소깍,5,199.0,2022-09-15,26.0,28,24,40,4,247.39581
비자림,6,124.0,2022-09-15,26.0,28,24,40,4,245.6562
쇠소깍,5,199.0,2022-09-10,25.416666666666668,27,24,30,4,245.47789
쇠소깍,5,199.0,2022-09-11,25.0,27,23,40,4,244.20302
천지연폭포,5,400.0,2022-09-08,25.541666666666668,29,22,20,4,244.011
쇠소깍,5,199.0,2022-09-12,25.5,27,24,40,4,242.442
아쿠아플라넷제주,2,231.0,2022-09-07,23.4,24,23,0,4,241.70686
비자림,6,124.0,2022-09-10,24.125,25,23,30,4,240.91354
비자림,6,124.0,2022-09-14,26.0,28,24,40,4,240.86316
섭지코지,2,172.0,2022-09-09,24.33333333333333,25,23,30,4,240.85393
쇠소깍,5,199.0,2022-09-16,26.0,28,24,40,4,239.8212
금능해수욕장,10,42.0,2022-09-09,23.166666666666668,26,20,20,4,239.68262
신창풍차해안도로,9,217.0,2022-09-11,25.5,28,23,40,4,238.40524
주상절리대,5,382.0,2022-09-07,25.0,26,24,0,4,236.901
주상절리대,5,382.0,2022-09-11,25.0,27,23,40,4,235.22513
금능해수욕장,10,42.0,2022-09-15,26.0,28,24,40,4,234.70326
비자림,6,124.0,2022-09-13,25.0,27,23,80,4,233.25117
9.81파크,7,4.0,2022-09-17,26.0,29,23,40,4,231.26895
쇠소깍,5,199.0,2022-09-07,25.0,26,24,0,4,230.8497
월정리해변,6,283.0,2022-09-11,25.0,27,23,40,4,230.34769
